"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1861974775159218279","Thu Nov 28 03:25:54 +0000 2024","0","Kalau beli nanti miskin kalau tak beli nanti murung","1861974775159218279","","","in","🍒","0","0","0","https://x.com/telurbistique/status/1861974775159218279","1045220352387731456","telurbistique"
"1861974774156829153","Thu Nov 28 03:25:54 +0000 2024","0","แง๊...แม่แกไม่เป็นคนดี แต่เป็นคนที่พวกแกรัก ก็พอแล้วววววว รักๆๆๆๆๆ เจอกัน Cover night @PiyanuchWi19 https://t.co/BlgzuGdzag","1861974774156829153","https://pbs.twimg.com/tweet_video_thumb/GdcQLwvaoAACh8t.jpg","","th","","0","0","0","https://x.com/Kamolwan_tak/status/1861974774156829153","1551886443567792128","Kamolwan_tak"
"1861974773032763421","Thu Nov 28 03:25:54 +0000 2024","0","Memang aku kena makan masa break japgi ni lapar gila takut tak sempat tunggu balik dah mati dulu","1861974773032763421","","","in","","0","0","0","https://x.com/izatisyzwni/status/1861974773032763421","483740531","izatisyzwni"
"1861973754605351197","Thu Nov 28 03:25:54 +0000 2024","0","Memang ni warga pantura beneran tempur ama calon calon yg aduh bagus juga gak rekam jejak kinerja jelek debat ajaaa jelek ga menguasai daerahnya miris bgt ini mah ditambah jateng kayak gitu damn ","1861974772873408963","","fluextine","in","","0","0","0","https://x.com/fluextine/status/1861974772873408963","1663323784101888001","fluextine"
"1861974763180368358","Thu Nov 28 03:25:52 +0000 2024","0","RTM pun tak layan Piala Dunia Asia Tenggara. ‍️","1861974763180368358","","","in","Milan, Lombardy","0","0","0","https://x.com/juanbudiman/status/1861974763180368358","52689158","juanbudiman"
"1861974761175466014","Thu Nov 28 03:25:51 +0000 2024","0","Jelek banget desainnya sumpahh.. kembalikan desain sebong yang lucu2 itu jeballl!!! ","1861974761175466014","","","in","","0","0","0","https://x.com/gigikwonfire/status/1861974761175466014","1605993236555710464","gigikwonfire"
"1861971004811341866","Thu Nov 28 03:25:51 +0000 2024","0","@AmaneMina_ おはようございます～","1861974759623606757","","AmaneMina_","ja","王牌の3番目くらい","0","0","0","https://x.com/Toro_Tak3/status/1861974759623606757","2589025675","Toro_Tak3"
"1861974758885396678","Thu Nov 28 03:25:50 +0000 2024","0","Ada book sleeve Alphabet! LIMITED di @lawa_lingo sahaja Cantik tauuu. Dia warna blue black ala ala Baldu biru itu ~ Awieeee! Tak akan ada dah design ni. So pi serbu pat!","1861974758885396678","","","in","","0","0","0","https://x.com/Aishreadss/status/1861974758885396678","1552207232204304385","Aishreadss"
"1861974757056643090","Thu Nov 28 03:25:50 +0000 2024","0","Bye 2024️.. hello 2025! P/S: awai tak kalut #bye2024 #bye2024welcome2025 #CapCut #farisyanaqiholiday #theayishbrothers #videotheayishs https://t.co/RtQCR12ZzR","1861974757056643090","https://pbs.twimg.com/ext_tw_video_thumb/1861974708021067776/pu/img/d_aq_pfselNGjsMV.jpg","","in","Kuala Lumpur City","0","0","0","https://x.com/mamasohor/status/1861974757056643090","1707939480018309120","mamasohor"
"1861974393112666379","Thu Nov 28 03:25:50 +0000 2024","0","tak harap apa apa pon tapi orang dah janjii https://t.co/jIKwswcdl6","1861974754913316895","https://pbs.twimg.com/media/GdcQK0vbwAAAhHi.jpg","juasfan","in","","0","0","0","https://x.com/juasfan/status/1861974754913316895","1746143770905804800","juasfan"
"1861867591762890829","Thu Nov 28 03:25:49 +0000 2024","0","@RiE_blessing りえりんさん、こんにちは！ そうなんですよね〜！ 毎日いろんな気づきがあったり、新しい発見があったりと楽しいですよね〜！","1861974754229657924","","RiE_blessing","ja","スペース出演依頼はお気軽にDMかリプまで！","0","0","0","https://x.com/tak_works01/status/1861974754229657924","1823195876355141632","tak_works01"
"1861878208989147355","Thu Nov 28 03:25:49 +0000 2024","0","@RanaKha38160104 27 نومبر، وہ دن کہ اس کے بعد سے پاکستان تبدیل ھوگیا۔ اب جب تک ان فوجی درندوں سے ملک کو پاک نہیں کر لیتے چین نہیں لیں گے۔کون ریاست؟ کیسی ریاست؟ یہ قتل عام ناجائز غیر قانونی حکمرں فوج نے کیا ھے کسی ریاست نے نہیں","1861974752421704065","","RanaKha38160104","ur","","0","0","0","https://x.com/takatak1186/status/1861974752421704065","1787928245192589312","takatak1186"
"1861965734391205968","Thu Nov 28 03:25:49 +0000 2024","0","@alokrajRSSB Vdo waiting list kab tak jari hogi","1861974751402746068","","alokrajRSSB","in","Nawa","0","0","0","https://x.com/Hansu02024/status/1861974751402746068","1815254027787292672","Hansu02024"
"1861974748919644659","Thu Nov 28 03:25:48 +0000 2024","0","setting spray dazzle me sama luxcrime bagusan dazzle me bjirrr di muka gw yg normal to oily atau kombinasi tu lah pokoknya sumpahhh dazzle me lebih nahan makeup gw 5 jam lebih sedangkan luxcrime blm ada sejam aja makeup gw udh kek ilang anj jelek bnagettt ","1861974748919644659","","","in","isfp","0","0","0","https://x.com/wouzded/status/1861974748919644659","1571629554829238274","wouzded"
"1861970124032585960","Thu Nov 28 03:25:47 +0000 2024","0","@Vallarrya Haha asal masih ada niat dan tergerak untuk membersihkan masih belum termasuk kok. Kalo mereka itu udah bener bener bodo amat jadi begitu keadaannya. Bukannya tidur diantara taburan bintang tapi diantara taburan sampah.","1861974742900895937","","Vallarrya","in","","0","0","0","https://x.com/Beast345Unicorn/status/1861974742900895937","1590399691803353088","Beast345Unicorn"
"1861974738568188096","Thu Nov 28 03:25:46 +0000 2024","0","Persija kesebelasan ibukota yang banyak sejarah tak terlupakannya","1861974738568188096","","","in","","0","0","0","https://x.com/dwiyow/status/1861974738568188096","1838171813463162880","dwiyow"
"1861974737716699357","Thu Nov 28 03:25:45 +0000 2024","0","今日はやる気がしない。","1861974737716699357","","","ja","日本　","0","0","0","https://x.com/shiomi_tak45530/status/1861974737716699357","1655500974000312320","shiomi_tak45530"
"1861756752783614272","Thu Nov 28 03:25:45 +0000 2024","0","@gus_dibyo Tetep bodoh","1861974734910709869","","gus_dibyo","in","Indonesia","0","0","0","https://x.com/radityaris/status/1861974734910709869","1244931820082188288","radityaris"
"1861969651900772658","Thu Nov 28 03:25:32 +0000 2024","0","@mamariffs Yang ni ada ke dalam komen² tu kak? Tak perasan. Boleh ss nak tengok..td cari tak jumpa. Tapi cip memang fiuhhhh betul² bersabar orangnya. Kalau sy ni baran lama dah kitai org camni","1861974681320124604","","mamariffs","in","","0","0","0","https://x.com/amelhenderson/status/1861974681320124604","1372399582026493955","amelhenderson"
"1861974677276823566","Thu Nov 28 03:25:31 +0000 2024","0","Setelah setengah tahun tak jejak puncak sebab selalu mendaki gunhng kembar je https://t.co/uEv0f4EGgY","1861974677276823566","https://pbs.twimg.com/media/GdcQGL9aYAAFbM3.jpg","","in","","0","0","0","https://x.com/gewnfeelings/status/1861974677276823566","1674513338750087168","gewnfeelings"
"1861712014655238561","Thu Nov 28 03:25:31 +0000 2024","0","@pisorgpl https://t.co/zcRoH0xmvr","1861974676408246545","https://pbs.twimg.com/ext_tw_video_thumb/1861974643894042624/pu/img/n-TyekeugOXTVWZh.jpg","pisorgpl","qme","Katowice, Polska","0","0","0","https://x.com/Andrzej63600050/status/1861974676408246545","1483392707376693249","Andrzej63600050"
"1861777141161242885","Thu Nov 28 03:25:29 +0000 2024","0","@negativisme Nggih mas?bak e goblok tenan","1861974667059499519","","negativisme","in","","0","0","0","https://x.com/SutrisnoWi18781/status/1861974667059499519","1770459099840524288","SutrisnoWi18781"
"1861974665348157623","Thu Nov 28 03:25:28 +0000 2024","1","i suka laki yang kinky yang suka seluk my skirt in public or raba my boobish ke haha ada yang suka sama dengan i tak? kalau compatible boleh dm kot kot boleh realisasikan ","1861974665348157623","","","in","Malaysia","0","0","0","https://x.com/nottygiirls10/status/1861974665348157623","1613447994342510594","nottygiirls10"
"1861974663875711403","Thu Nov 28 03:25:28 +0000 2024","0","Nie wiem o chuj chodzi ale moje problemy ze snem zaczynaja mnie wkurwiac wczoraj kladac sie spac doslownie poltorej godziny lezalam z zamknietymi oczami stwierdzilam chuj pewnie nie bede mogla zasnac jak juz mialam tak a tu co? Zasnelam na trzy godziny i o dziwo nie zaspalam","1861974663875711403","","","pl","","0","0","0","https://x.com/umrzycielka/status/1861974663875711403","1066277647603376128","umrzycielka"
"1861974663339098296","Thu Nov 28 03:25:28 +0000 2024","0","映画ではなくドラマの方ね","1861974663339098296","","","ja","横浜","0","0","0","https://x.com/tak_kimukimu/status/1861974663339098296","569556187","tak_kimukimu"
"1861891962078736417","Thu Nov 28 03:25:28 +0000 2024","0","@IzzraifHarz Sungai Repoh jam 9.00 pagi tadi dah tak sampai sekaki rasanya air nak melimpah ke jalan","1861974663012004211","","IzzraifHarz","in","Perlis","0","0","0","https://x.com/mimieismail90/status/1861974663012004211","1601435005024374785","mimieismail90"
"1860168939227287908","Thu Nov 28 03:25:27 +0000 2024","0","@dopejjh Parah banget jaehyun dibilang jelek","1861974661128720635","","dopejjh","in","★⋆ ~ 'Nyra' OOC ⊰─","0","0","0","https://x.com/NyraRae_/status/1861974661128720635","1828244256781410305","NyraRae_"
"1861766990970622363","Thu Nov 28 03:25:25 +0000 2024","0","Anyway this is making numbers I don t know why. . Kita tak komen apa2 negatif pun ya. Tweet tu pun untuk hiburan je. Kerja tetap kena kerja macam biasa ye dak? Semoga semua dipermudahkan segala urusan dan dimurahkan rezeki. Yang penting jangan lupa support Seventeen okay? ","1861974651976741314","","nzrlrzmn","in","","0","0","0","https://x.com/nzrlrzmn/status/1861974651976741314","3113007874","nzrlrzmn"
"1861973556684603598","Thu Nov 28 03:25:22 +0000 2024","0","@vollereiy ga suka jelek /imo","1861974637326069804","","vollereiy","in","taken by xiao. ","0","0","0","https://x.com/sparklivy/status/1861974637326069804","1627983621129916416","sparklivy"
"1861930269609218083","Thu Nov 28 03:25:21 +0000 2024","0","@meowwwwwore Hg ni buat buat garing tak takot ke","1861974635690312031","","meowwwwwore","in","","0","0","0","https://x.com/xrmino/status/1861974635690312031","1105056712627646465","xrmino"
"1861414892433002609","Thu Nov 28 03:25:21 +0000 2024","0","@JatukBot @ZulfiqarAhmed69 https://t.co/ATlNDPEm7Y","1861974633366360365","","JatukBot","qme","","0","0","0","https://x.com/tweets_tak/status/1861974633366360365","851802934652403715","tweets_tak"
